algorithm,resolution,score,score_type
infomap,0.1,0.8024596136583793,AMI
infomap,0.1,0.810043615137246,NMI
infomap,0.1,0.603961706852565,AMI
infomap,0.1,0.6289671664346075,NMI
infomap,0.1,0.603961706852565,AMI
infomap,0.1,0.6289671664346075,NMI
infomap,0.1,0.5854623484408873,AMI
infomap,0.1,0.614110634203899,NMI
infomap,0.1,0.7484390171640418,AMI
infomap,0.1,0.7558637131706727,NMI
infomap,0.1,0.6338526299139675,AMI
infomap,0.1,0.6534219842368881,NMI
infomap,0.1,0.6339689882600951,AMI
infomap,0.1,0.6536820643197221,NMI
infomap,0.1,0.5766827795607004,AMI
infomap,0.1,0.6070607733412188,NMI
infomap,0.1,0.5762726494471206,AMI
infomap,0.1,0.6066114556467389,NMI
infomap,0.1,0.5995506631810033,AMI
infomap,0.1,0.6255318046780095,NMI
infomap,0.1,0.6443339101874376,AMI
infomap,0.1,0.6622752128679578,NMI
infomap,0.1,0.623552388881538,AMI
infomap,0.1,0.644970329387062,NMI
infomap,0.1,0.6512962471828183,AMI
infomap,0.1,0.6683674384763705,NMI
infomap,0.1,0.9487947064482546,AMI
infomap,0.1,0.9507776397890015,NMI
infomap,0.1,0.8749440785138218,AMI
infomap,0.1,0.880199399163441,NMI
infomap,0.1,0.5976267212680906,AMI
infomap,0.1,0.621828649436028,NMI
infomap,0.1,0.9072911711752563,AMI
infomap,0.1,0.9113159936706126,NMI
infomap,0.1,0.880897022036026,AMI
infomap,0.1,0.8859896739527514,NMI
infomap,0.1,0.8394543911909821,AMI
infomap,0.1,0.8464404424800455,NMI
infomap,0.1,0.8633787670853696,AMI
infomap,0.1,0.8693758185154686,NMI
infomap,0.1,0.8414467470769326,AMI
infomap,0.1,0.847779677270103,NMI
infomap,0.1,0.9462697479773357,AMI
infomap,0.1,0.9494781699509511,NMI
infomap,0.1,0.9213540860320348,AMI
infomap,0.1,0.9245894912585259,NMI
infomap,0.1,0.7802931349587299,AMI
infomap,0.1,0.7898824970652111,NMI
infomap,0.1,0.8749440785138218,AMI
infomap,0.1,0.880199399163441,NMI
infomap,0.1,0.5976267212680906,AMI
infomap,0.1,0.621828649436028,NMI
infomap,0.1,0.9072911711752563,AMI
infomap,0.1,0.9113159936706126,NMI
infomap,0.1,0.880897022036026,AMI
infomap,0.1,0.8859896739527514,NMI
infomap,0.1,0.8394543911909821,AMI
infomap,0.1,0.8464404424800455,NMI
infomap,0.1,0.8633787670853696,AMI
infomap,0.1,0.8693758185154686,NMI
infomap,0.1,0.8414467470769326,AMI
infomap,0.1,0.847779677270103,NMI
infomap,0.1,0.9462697479773357,AMI
infomap,0.1,0.9494781699509511,NMI
infomap,0.1,0.9213540860320348,AMI
infomap,0.1,0.9245894912585259,NMI
infomap,0.1,0.7802931349587299,AMI
infomap,0.1,0.7898824970652111,NMI
infomap,0.1,0.5794236657260944,AMI
infomap,0.1,0.607140732696761,NMI
infomap,0.1,0.8836213450953998,AMI
infomap,0.1,0.8896986234137331,NMI
infomap,0.1,0.8578178712111675,AMI
infomap,0.1,0.864973516802191,NMI
infomap,0.1,0.8188296224469743,AMI
infomap,0.1,0.8264061053116258,NMI
infomap,0.1,0.8422610327667757,AMI
infomap,0.1,0.8487969899680323,NMI
infomap,0.1,0.8201431500429127,AMI
infomap,0.1,0.8276850062422924,NMI
infomap,0.1,0.9213561239945928,AMI
infomap,0.1,0.9269391287754801,NMI
infomap,0.1,0.8976092969371703,AMI
infomap,0.1,0.9026568262268359,NMI
infomap,0.1,0.7592115655698651,AMI
infomap,0.1,0.7711642901061067,NMI
infomap,0.1,0.6270107286383282,AMI
infomap,0.1,0.6460059151785273,NMI
infomap,0.1,0.6271380636140903,AMI
infomap,0.1,0.6462630434600728,NMI
infomap,0.1,0.570773530109155,AMI
infomap,0.1,0.600170884836812,NMI
infomap,0.1,0.5703727494765802,AMI
infomap,0.1,0.5997266667121841,NMI
infomap,0.1,0.5933071294115444,AMI
infomap,0.1,0.6184322776134115,NMI
infomap,0.1,0.6373168033588426,AMI
infomap,0.1,0.6547586633291398,NMI
infomap,0.1,0.6168924776955526,AMI
infomap,0.1,0.6376501831129596,NMI
